Geographic Area Name;Estimate!!HOUSEHOLDS BY TYPE!!Total households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families);Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size;Estimate!!RELATIONSHIP!!Population in households;Estimate!!RELATIONSHIP!!Population in households!!Householder;Estimate!!RELATIONSHIP!!Population in households!!Spouse;Estimate!!RELATIONSHIP!!Population in households!!Child;Estimate!!RELATIONSHIP!!Population in households!!Other relatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;Estimate!!MARITAL STATUS!!Males 15 years and over;Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced;Estimate!!MARITAL STATUS!!Females 15 years and over;Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;Estimate!!VETERAN STATUS!!Civilian population 18 years and over;Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
"Carver County, Minnesota";36925;27536;13580;24246;11193;1115;906;2175;1481;9389;7623;3153;13918;8291;2.78;3.24;102698;36925;24132;35479;2146;4016;1646;39687;11912;24784;78;541;2372;41748;10163;25265;267;1713;4340;28299;2295;1222;13247;7163;4372;67577;937;1034;11513;12062;7835;22146;12050;65606;34196;75789;3752;103276;7153;27743;552;63012;3631;12521;2970
"Olmsted County, Minnesota";63462;39793;18104;32802;14048;1944;966;5047;3090;23669;19728;6564;19056;16391;2.42;3.06;153700;63462;32657;45015;4486;8080;3457;60594;19877;34438;194;1374;4711;64103;17300;34032;579;4985;7207;40692;3260;1461;17097;8827;10047;106125;2522;3596;19533;18108;14137;27295;20934;100007;48229;117958;8198;154482;15247;38252;1467;92909;6923;23321;6857
"St. Louis County, Minnesota";84370;47595;17154;37282;11091;3218;2076;7095;3987;36775;28229;12070;18687;27194;2.26;2.88;190856;84370;37336;45575;6487;17088;7811;83795;29735;39664;1027;2725;10644;84459;26395;38680;658;7895;10831;49333;2853;1816;16896;8247;19521;136380;1770;5145;35654;35559;18390;25856;14006;129465;39862;161097;14132;196133;27516;37780;1227;121521;15262;36832;11027
"Sherburne County, Minnesota";32033;23539;10423;18375;7636;2018;898;3146;1889;8494;6071;2515;11011;7456;2.93;3.30;93838;32033;18256;31719;4083;7747;3252;39030;15108;19142;408;293;4079;36021;9527;19742;908;2046;3798;25345;1945;1378;10838;5070;6114;62866;292;2879;18311;14649;10011;12373;4351;59695;16724;70864;4881;93985;8740;25170;734;58602;4091;10213;3915
"Lauderdale County, Mississippi";29993;18858;9303;13601;6477;668;91;4589;2735;11135;10073;3629;10081;9022;2.40;3.14;72086;29993;13674;23367;3246;1806;719;28503;8842;14666;247;1256;3492;31018;7872;14276;550;3227;5093;17787;692;1821;7464;3846;3964;51225;2506;4751;12401;13535;8364;6050;3618;43968;9668;56765;6091;72094;13104;17688;1399;41814;6535;12592;5170
"Lee County, Mississippi";32527;22217;9047;16389;6365;1563;561;4265;2121;10310;8982;2735;9686;8349;2.59;3.15;84244;32527;16434;28183;3094;4006;1492;32311;10996;16484;464;610;3757;35173;9032;17301;818;3516;4506;18981;969;1084;10034;3991;2903;56577;2513;6004;13474;14617;5589;9084;5296;48060;14380;64296;3611;84171;12173;20708;777;51965;6970;11498;4426
"Rankin County, Mississippi";55483;38785;18092;29387;13275;2280;920;7118;3897;16698;14309;6560;19749;16619;2.66;3.22;147718;55483;29721;47573;8887;6054;2167;59489;18305;31605;792;1918;6869;65475;14208;33540;538;6309;10880;38190;2673;1443;16650;8777;8647;106069;3892;6784;27001;22951;13332;18833;13276;95393;32109;117809;7143;147789;17196;35580;1876;89859;7729;22350;7591
"Douglas County, Nebraska";220858;134887;65408;99520;45074;11077;5874;24290;14460;85971;69122;23783;71097;53806;2.51;3.19;553735;220858;99619;169072;26121;38065;14289;217106;82092;106483;3661;5223;19647;227323;71918;106883;3190;17198;28134;154187;10265;8462;60913;31962;42585;370015;16672;19361;76293;78407;30755;95301;53226;333982;148527;420635;28628;559690;61106;144551;5861;343614;32371;71525;22874
"Lancaster County, Nebraska";125917;73258;32400;56199;23109;5030;2391;12029;6900;52659;39593;13191;35733;31550;2.42;3.05;304206;125917;55757;81419;12996;28117;8165;128228;51992;61143;1251;2540;11302;127784;45363;57473;1965;8512;14471;96980;7399;4736;31329;15479;38037;198091;5849;6178;42054;39716;22992;52036;29266;186064;81302;244736;15614;313217;33669;72188;2431;197480;16686;43549;14552
"Sarpy County, Nebraska";66273;45555;22531;37352;17537;2184;1062;6019;3932;20718;16547;5604;24131;15143;2.77;3.34;183270;66273;37201;63051;6182;10563;3485;71089;23856;39147;647;1078;6361;71140;17207;40146;1269;4248;8270;51569;2516;2836;22548;11970;11699;117723;1503;4285;26393;27229;12282;29029;17002;111935;46031;130196;19222;179941;15184;50520;1243;107868;8100;21553;5841
"Cheshire County, New Hampshire";30208;16932;5934;13812;3908;1038;755;2082;1271;13276;10358;4566;6519;10862;2.38;3.05;71891;30208;14096;17397;3217;6973;2606;31434;12132;13612;160;599;4931;34145;10227;15394;354;3099;5071;19002;567;479;6672;3528;7756;53617;1218;2736;17497;10021;4916;11158;6071;49663;17229;62858;5592;75709;9998;13635;465;47413;5005;14661;4528
"Hillsborough County, New Hampshire";161649;104043;41572;81919;29442;7661;3655;14463;8475;57606;44157;16386;44746;45612;2.52;3.09;407279;161649;81888;116109;19666;27967;13523;170887;61304;86414;1801;4580;16788;175159;48714;87000;2119;15116;22210;94033;6073;4593;38690;21368;23309;293905;9541;12936;76532;54563;27010;70785;42538;271428;113323;329841;26198;411090;52171;84841;4435;264259;27752;61990;19984
"Cape May County, New Jersey";39208;25773;8897;21231;6983;1435;638;3107;1276;13435;11202;6081;10022;16900;2.30;2.82;90000;39208;21073;21266;4616;3837;1932;39721;11975;22243;824;1722;2957;41011;8738;22040;564;4575;5094;15581;689;643;6775;3696;3778;71086;2363;3021;20799;14624;5568;16203;8508;65702;24711;76603;5874;90196;13521;14739;717;52243;5353;23214;7451
"Cumberland County, New Jersey";50034;34428;14000;22580;7645;2830;1931;9018;4424;15606;12790;6796;16231;16380;2.76;3.35;138143;50034;22547;46470;11935;7157;3790;62534;28501;25340;1435;2445;4813;58858;20773;23867;2161;4615;7442;36994;2121;1905;17035;8280;7653;102903;8284;13139;36875;18086;9463;10088;6968;81480;17056;115583;6643;139670;20492;35218;1357;82319;11215;22133;7920
"Hudson County, New Jersey";263924;158957;67224;108150;46643;16667;4365;34140;16216;104967;77031;22531;75165;62152;2.53;3.20;667568;263924;107665;178173;63948;53858;20767;275682;119481;129100;6457;3415;17229;281718;102341;119417;10678;20314;28968;149164;12685;6231;58670;26194;45384;484037;43550;29032;109295;59134;21855;135270;85901;411455;221171;537406;12173;670851;59443;138074;5748;454727;28456;78050;25239
"San Juan County, New Mexico";43707;29548;11999;19252;6998;3258;1963;7038;3038;14159;12119;4203;15190;13621;2.82;3.48;123217;43707;19157;39992;13985;6376;3314;47909;19561;20776;927;1914;4731;49848;17468;20900;781;4421;6278;32269;1753;1592;14694;7634;6596;81649;3844;8189;22134;24563;9678;7570;5671;69616;13241;92105;7518;123698;21746;32820;1230;72093;12282;18785;8234
"Santa Fe County, New Mexico";62707;36488;11755;26468;6847;2999;1423;7021;3485;26219;21714;9366;13380;25366;2.35;3.07;147495;62707;26484;36264;12732;9308;4091;61573;21247;29674;759;1306;8587;66454;19547;28995;797;4740;12375;30436;1555;1883;12658;7163;7177;112194;6219;6810;27867;19728;7405;21263;22902;99165;44165;123155;10275;148890;19030;26859;732;85644;7901;36387;10397
"St. Lawrence County, New York";41680;25979;10488;19167;6579;1608;821;5204;3088;15701;13246;6062;11506;12965;2.31;2.88;96459;41680;19323;25247;4148;6061;3480;46398;19123;20951;750;1052;4522;43903;13839;20267;741;5107;3949;30071;1606;989;9856;5068;12552;71491;2278;4721;27872;11935;8231;7954;8500;64492;16454;86447;7691;104389;15822;21562;921;65248;7735;17579;7166
"Ulster County, New York";69154;42744;15446;31794;9984;4384;1731;6566;3731;26410;20873;9360;17904;24109;2.41;2.96;166494;69154;31571;42465;9642;13662;6959;75597;27949;36231;1058;1837;8522;77429;23529;35436;1364;7509;9591;39194;1776;1995;13623;8223;13577;130157;4678;7522;38701;23446;14488;23342;17980;117957;41322;147250;7327;174251;24829;31122;2202;108636;11620;34493;11007
"Cabarrus County, North Carolina";73751;54401;25356;40696;18511;4237;1496;9468;5349;19350;15945;6219;28682;19120;2.84;3.33;209524;73751;40857;71959;14004;8953;4967;79846;26985;44177;540;1456;6688;87308;25356;41918;2878;7304;9852;59514;5605;1762;24165;15603;12379;140524;3413;7905;37224;28381;15576;30348;17677;129206;48025;157125;10791;209944;22846;54112;2237;128397;11202;27435;9407
"Cumberland County, North Carolina";127911;80255;35762;52232;20936;5524;2658;22499;12168;47656;42251;12455;41768;29778;2.48;3.19;316810;127911;52167;97574;26098;13060;6947;129578;52639;59451;4139;3867;9482;133845;41686;57271;4451;12501;17936;88545;5531;4200;35037;17920;25857;207100;4692;13766;52268;58692;21374;37043;19265;188642;56308;222064;46455;301987;50637;81580;5098;180833;28130;39574;17409
"Guilford County, North Carolina";209842;133620;57013;90644;34706;9948;4143;33028;18164;76222;61960;20794;66260;56431;2.45;3.02;513444;209842;90705;142393;36624;33880;14057;202930;74504;99192;4583;5130;19521;232597;81363;95478;8225;18182;29349;148006;7766;5491;52692;27661;54396;356797;14608;23155;80307;74668;33197;84371;46491;319034;130862;414328;30383;529565;60958;118852;5150;332369;30994;78344;24814
"Wake County, North Carolina";408473;271974;132235;213776;99769;13085;7319;45113;25147;136499;105296;29554;140525;88072;2.62;3.19;1071452;408473;214322;330343;50471;67843;24398;421410;150626;226033;7136;7344;30271;454710;141873;223780;9096;27690;52271;293196;21237;15837;115656;61945;78521;731228;20635;25546;106223;122240;58189;249424;148971;685047;398395;830331;50305;1085267;87329;261442;10044;699081;42340;124744;34945
"Burleigh County, North Dakota";40736;25038;11719;19512;7934;1831;1178;3695;2607;15698;12391;4623;12247;10584;2.26;2.85;92024;40736;19210;24842;2318;4918;3251;38360;13323;20435;82;1305;3215;38403;11305;19329;324;3049;4396;22232;1578;529;9747;3841;6537;64092;1389;1432;14634;13176;11625;16273;5563;61271;21836;73551;5864;93483;9868;21629;400;57302;4507;14552;4961
"Lake County, Ohio";96577;61277;22259;46658;15764;4602;1862;10017;4633;35300;28429;11172;24755;32743;2.36;2.95;227453;96577;47045;60806;11726;11299;7280;94022;31439;47555;482;3091;11455;99297;25712;48920;1538;9875;13252;49337;3472;3106;19289;13120;10350;167122;3113;10010;52653;35547;17077;31245;17477;153999;48722;184304;13799;228544;30969;46190;1771;137127;12614;45227;16584
"Lorain County, Ohio";121344;80178;31511;57598;18688;7535;4171;15045;8652;41166;36175;15579;34694;39653;2.48;3.04;300571;121344;57898;88772;16629;15928;6957;123652;44337;59606;1629;4127;13953;129869;37590;61217;2753;13023;15286;72153;4577;3250;27896;17816;18614;213397;2916;16107;65866;49189;21866;36702;20751;194374;57453;241094;17179;303585;36638;68186;1937;180244;17692;55155;17009
"Lucas County, Ohio";178289;103610;45751;67918;23210;10031;6087;25661;16454;74679;61610;19954;51946;48602;2.36;3.05;420811;178289;67834;120902;23551;30235;16169;166098;68181;72304;3209;3613;18791;181490;63720;73518;2845;15193;26214;103912;6646;5982;42867;21893;26524;292104;7038;22742;91324;68631;27073;46615;28681;262324;75296;331108;21607;425314;70334;98451;7013;259219;38857;67644;24464
"Summit County, Ohio";226243;135033;54234;95959;35277;10681;5233;28393;13724;91210;75597;27418;59417;68384;2.35;3.03;532317;226243;96378;151020;27175;31501;16250;216007;79549;99583;3643;7215;26017;233182;70227;104182;3549;21180;34044;126887;8459;6462;49783;27098;35085;382405;9343;21401;106207;83251;30876;81736;49591;351661;131327;428369;32938;536014;73053;113087;5869;327934;37904;94993;29280
"Creek County, Oklahoma";26957;19555;7685;15210;5460;1109;652;3236;1573;7402;6498;3094;9154;8447;2.62;3.09;70747;26957;15228;20735;4909;2918;1344;28067;7532;16268;457;954;2856;29403;6131;16064;581;3005;3622;15665;806;1314;7473;3908;2164;49027;1397;4385;17542;12557;4516;6039;2591;43245;8630;54526;5360;70788;10176;17056;797;41612;4956;12120;4423
"Payne County, Oklahoma";30734;16198;6396;12860;4384;814;480;2524;1532;14536;10177;3412;6859;7825;2.40;3.07;73879;30734;12800;18763;2032;9550;1899;35458;18093;14095;339;343;2588;33323;13923;13176;133;2967;3124;32800;1120;829;7486;3142;20223;44976;897;2521;12910;8912;2765;10364;6607;41558;16971;65491;3680;80262;9755;16208;716;53215;5454;10839;3585
"Rogers County, Oklahoma";35254;26043;10720;20803;8151;1650;918;3590;1651;9211;7703;3209;12458;10144;2.57;2.97;90615;35254;20859;25454;5070;3978;2012;36761;8958;22178;542;1167;3916;37811;7627;21971;303;3235;4675;22068;1338;1711;9434;5744;3841;62661;1465;3178;20730;15563;5841;11805;4079;58018;15884;70473;7007;90863;13539;21454;847;55177;7584;14232;5108
"Tulsa County, Oklahoma";250492;158364;72249;113397;46903;12073;5984;32894;19362;92128;75637;26408;80502;65639;2.56;3.22;640147;250492;113414;196485;42072;37684;14805;245917;85849;121670;4286;6396;27716;264789;73794;123127;6743;21767;39358;166234;10882;9300;73511;35108;37433;427196;15930;27485;110081;100997;37879;89891;44933;383781;134824;483981;36285;643418;88151;163843;7006;388533;49240;91042;31905
"Lane County, Oregon";156072;91178;35514;65562;20942;6377;3493;19239;11079;64894;44867;19758;40532;52121;2.38;2.85;372224;156072;65640;84019;19384;47109;16219;156967;61982;70206;2401;3902;18476;164330;50366;69387;4539;12393;27645;91592;5179;3669;31209;17688;33847;262100;6861;14285;59382;75130;27545;48647;30250;240954;78897;309188;29165;377678;63237;69720;5247;234857;32353;73101;25637
"Adams County, Pennsylvania";39570;27421;9686;22062;6801;1779;847;3580;2038;12149;10640;5474;10757;14009;2.49;2.98;98498;39570;22228;27206;4881;4613;1960;41473;11786;22851;674;1431;4731;43860;10357;24476;781;3296;4950;23381;1205;750;10138;4650;6638;72399;3360;4342;28054;13078;6562;9519;7484;64697;17003;81596;6926;101521;13644;21091;892;60571;6869;19859;5883
"Cumberland County, Pennsylvania";102243;63498;23725;53368;18685;2825;1385;7305;3655;38745;30454;12417;25619;32280;2.33;2.91;237966;102243;52708;62395;6439;14181;8337;102599;35406;55078;1534;2475;8106;106632;27510;54719;1713;9808;12882;60351;3379;2533;23086;11128;20225;174824;4484;7064;58139;26082;13313;41533;24209;163276;65742;199661;16815;243796;30005;50795;2131;147916;12917;45085;14957
"Lebanon County, Pennsylvania";54522;38309;13708;28612;9170;2258;1098;7439;3440;16213;13761;7191;16147;19425;2.53;2.99;137889;54522;28356;38387;9400;7224;4079;55869;18073;30063;534;1812;5387;58851;15559;29808;891;5889;6704;31433;1456;2039;14516;7467;5955;97746;4744;7303;44117;15076;6350;13537;6619;85699;20156;109106;9285;139664;18079;32095;2071;81017;8387;26552;7621
"Lycoming County, Pennsylvania";44585;29131;11095;21826;7035;2290;1311;5015;2749;15454;12570;5576;12262;14897;2.40;2.88;106884;44585;21900;29121;3672;7606;3722;45212;15798;22971;1048;1269;4126;49338;15434;23308;964;4367;5265;25738;1135;1199;9721;5887;7796;79981;1804;5334;30323;13600;8912;13710;6298;72843;20008;90298;9114;110479;17376;23269;1781;66251;8387;20959;7208
"Kent County, Rhode Island";69115;42333;15950;33595;11416;3148;1699;5590;2835;26782;22026;10858;17588;22961;2.35;3.01;162532;69115;33630;43980;7275;8532;5494;66566;23480;33879;438;1942;6827;72455;18730;36098;753;8299;8575;35049;2022;2135;13845;8580;8467;120684;3383;6647;31044;23992;14446;25106;16066;110654;41172;132756;12081;162641;23120;30846;1940;101749;11688;30046;9492
"Berkeley County, South Carolina";78168;55010;22655;38925;14973;4395;1437;11690;6245;23158;18918;6832;25369;21005;2.78;3.29;217193;78168;38755;68723;18740;12807;4472;87404;30266;42305;2950;2588;9295;89198;25068;42459;3590;6715;11366;54671;4355;4047;21858;11610;12801;147924;4456;9802;44404;35850;16833;24682;11897;133666;36579;163413;22420;214986;31229;52719;2683;131791;16927;30476;11619
"Sumter County, South Carolina";40396;28662;10496;17706;5236;2588;1158;8368;4102;11734;10626;4324;12951;12716;2.56;3.06;103512;40396;18266;30102;10740;4008;2288;40408;14970;19184;1906;1388;2960;45062;13893;20059;2027;5564;3519;27910;3339;1135;11254;6251;5931;70939;2878;7547;20687;17592;7956;9148;5131;60514;14279;79013;11682;102056;17603;25116;1290;59989;9733;16951;6580
"Davidson County, Tennessee";283445;159825;68429;108872;41700;12156;5454;38797;21275;123620;90200;25896;77449;63369;2.37;3.03;671174;283445;109672;166946;48403;62708;19351;272284;116662;118944;3583;5256;27839;297435;116167;118507;6785;20861;35115;158175;7779;9430;60961;26382;53623;481307;19127;31723;108339;88108;30417;124607;78986;430457;203593;548672;28047;686362;75121;143383;4484;459829;41360;83150;29277
"Hamilton County, Tennessee";146057;91666;33932;67001;22050;6139;2657;18526;9225;54391;42908;16371;39689;44719;2.41;3.01;352366;146057;66859;90668;26505;22277;9123;143002;50635;69816;2583;4682;15286;158149;43597;73214;4157;14785;22396;85124;5362;4126;35156;15442;25038;256051;9190;17668;62509;62240;24619;50319;29506;229193;79825;288284;25103;360390;52631;75636;3010;222873;26926;61881;22695
"Robertson County, Tennessee";26375;21004;8603;16169;6869;1547;319;3288;1415;5371;4558;1864;10149;7794;2.66;2.99;70026;26375;16111;19979;5705;1856;765;27866;6581;17328;538;368;3051;29090;5908;16851;287;2345;3699;15997;828;604;7865;3592;3108;48309;2841;2883;17803;10632;4345;7123;2682;42585;9805;53994;3710;70057;9200;16931;865;43181;4818;9945;3517
"Washington County, Tennessee";54433;34181;12616;26138;9068;2815;1164;5228;2384;20252;16914;6203;14386;16378;2.27;2.83;123429;54433;25807;30189;6579;6421;3233;52818;16793;27746;159;2115;6005;55766;13891;26272;2510;5895;7198;31055;1056;839;11072;5608;12480;88775;3664;6546;23299;20938;4963;17307;12058;78565;29365;104552;10939;126765;24511;24013;1651;80216;14034;22536;8826
"Brazoria County, Texas";120802;86582;42700;68856;33250;5245;2385;12481;7065;34220;28579;9527;46853;29085;2.96;3.57;357656;120802;68416;120344;33999;14095;6020;145461;49105;75597;3891;3055;13813;143116;35769;78218;3365;11618;14146;103861;7251;5282;43863;20784;26681;240150;13787;15619;62048;62395;20687;43521;22093;210744;65614;272029;15559;357850;27407;97807;1634;217841;13784;42202;11989
"Collin County, Texas";344824;253044;134249;210875;110281;12033;5927;30136;18041;91780;74552;20614;141838;72539;2.90;3.40;1000039;344824;210985;329564;67531;47135;14478;386193;117902;232325;4106;5224;26636;405750;107363;224917;5725;25265;42480;284815;19554;14195;118002;65675;67389;662343;23025;17437;103944;124313;46555;217896;129173;621881;347069;744196;42254;1002454;71507;260356;6676;632939;32877;109159;31954
"Dallas County, Texas";937438;601367;283826;407047;182403;53241;24419;141079;77004;336071;275809;69011;325246;202038;2.78;3.54;2607132;937438;406673;851210;268443;143368;57111;1006273;418938;467574;18921;19721;81119;1052889;374337;453235;31761;72050;121506;683952;42108;37626;309099;148604;146515;1696135;185443;158614;393301;320100;99378;340070;199229;1352078;539299;1947325;91991;2619843;242257;688976;24610;1653592;125457;277275;92190
"Galveston County, Texas";121976;82957;36629;63406;27894;6078;2634;13473;6101;39019;30640;13654;41578;34354;2.71;3.32;331140;121976;63483;105618;23041;17022;6187;132056;41559;70112;1391;3679;15315;138044;38322;67326;3748;10996;17652;88200;5110;3261;38671;19407;21751;227664;8058;16767;54835;53477;21390;49467;23670;202839;73137;255315;24356;332026;44540;81715;4494;203088;21625;47223;18421
"Williamson County, Texas";185345;135729;68712;108262;52041;7768;4420;19699;12251;49616;38331;13583;73422;43887;3.04;3.52;563227;185345;108539;189101;44414;35828;11362;216947;71209;120648;3333;3861;17896;229483;61479;117315;4461;14386;31842;149060;9419;9022;64776;35421;30422;376368;11597;14586;72429;79767;34990;106257;56742;350185;162999;420600;33593;564083;59186;145177;4133;351117;31236;67789;23817
"Cache County, Utah";39224;29646;15165;24735;12086;1731;595;3180;2484;9578;6661;2907;15881;8008;3.16;3.59;124101;39224;24573;45856;6285;8163;1697;47313;16811;26574;412;463;3053;47270;14769;26138;360;2171;3832;48365;2117;2466;16475;8907;18400;64896;1696;2110;12210;16295;5796;17510;9279;61090;26789;88387;3974;126245;9370;38569;694;76358;5619;11318;3057
"Tooele County, Utah";20411;15962;8571;12371;6219;1862;1450;1729;902;4449;3364;1422;9342;4487;3.41;3.87;69547;20411;12638;28182;5004;3312;1263;25957;9044;13326;337;763;2487;25054;6621;13328;929;1312;2864;21748;911;1607;9504;6533;3193;40590;780;3257;13027;9207;4692;6389;3238;36553;9627;46951;4952;69547;6975;22826;820;40362;4086;6359;2069
"Prince William County, Virginia";143861;110771;56530;87324;44254;6074;3256;17373;9020;33090;26236;8610;62865;31168;3.23;3.65;464305;143861;86808;161506;45331;26799;7680;178467;58255;100405;3323;2693;13791;183040;51001;96839;5553;10325;19322;131755;8188;6073;56360;31764;29370;299931;16900;17870;57704;59488;24004;72913;51052;265161;123965;334069;42214;460115;34831;127547;3434;286579;17515;45989;13882
"York County, Virginia";24996;16763;7514;13626;5375;1134;700;2003;1439;8233;7069;3489;8011;8066;2.65;3.32;66329;24996;13515;21680;3758;2380;892;25782;7362;14517;481;1121;2301;28657;6629;15662;1051;2400;2915;18559;1257;1045;7732;4143;4382;45885;835;1221;8079;9922;3952;11932;9944;43829;21876;48233;8706;64271;8032;16156;822;36692;3242;11423;3968
"Clark County, Washington";178980;124605;50619;98421;37509;8160;3344;18024;9766;54375;40299;18294;57264;51831;2.67;3.13;477724;178980;98986;138235;28043;33480;13287;189675;59351;104139;3082;3910;19193;197177;46291;105248;2503;14982;28153;114504;6795;5382;52577;26555;23195;328729;5763;16160;79100;85903;39370;67640;34793;306806;102433;366846;33107;479328;56266;114789;5045;290746;28616;73793;22605
"Cowlitz County, Washington";43279;28076;10573;19624;6106;2952;1567;5500;2900;15203;12232;5218;13066;14946;2.49;3.02;107713;43279;19482;28277;8935;7740;4243;43256;14526;21049;724;1759;5198;44888;11780;20964;960;3833;7351;24682;1968;1046;11736;5086;4846;75444;2614;4804;24975;19806;10451;8720;4074;68026;12794;83534;8433;107980;19714;25371;1892;62186;10146;20423;7676
"Lewis County, Washington";30327;20221;8031;15487;5404;1518;818;3216;1809;10106;8477;5171;9277;11906;2.58;3.11;78353;30327;15536;21571;5558;5361;1507;32519;9392;17366;521;846;4394;32882;7448;16345;622;3753;4714;17241;1165;626;7582;3740;4128;56789;1623;4378;16715;15332;8152;6779;3810;50788;10589;62486;7186;78710;15979;16835;415;45570;8680;16305;6884
"Mason County, Washington";25864;15168;4566;11567;3279;954;136;2647;1151;10696;8079;3634;5534;10113;2.49;3.17;64340;25864;11230;15174;6497;5575;2557;28516;9564;13202;175;1957;3618;26305;5191;12902;537;2581;5094;13062;566;917;5265;2847;3467;47288;1792;3908;14249;12408;5518;6285;3128;41588;9413;52884;6634;64382;11786;12533;477;37213;6355;14636;4954
"Pierce County, Washington";328519;223206;92436;173879;66848;14729;6744;34598;18844;105313;78699;31432;103634;87358;2.65;3.18;872132;328519;174125;256730;56807;55951;27013;352907;123139;186192;3819;5959;33798;361588;94847;183931;5370;24739;52701;212857;12674;12320;93124;43689;51050;602831;16453;36210;155343;151085;72366;110248;61126;550168;171374;666423;82757;870329;110867;209206;7262;540330;60146;120793;43459
